City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,kurchatov,51.6601,35.6521,20.23,67,84,2.32,RU,1717826474
334,sierra grande,-41.606,-65.3557,12.1,60,100,4.74,AR,1717826474
335,fortaleza,-3.7227,-38.5247,26.07,89,0,2.57,BR,1717826474
336,dingzhou,38.5131,114.9956,35.06,11,100,3.03,CN,1717826474
337,rocha,-34.4833,-54.3333,13.95,97,100,2.37,UY,1717826474
338,yuzhno-kurilsk,44.0306,145.8556,15.76,77,84,5.2,RU,1717826475
339,karratha,-20.7377,116.8463,24.06,33,45,6.92,AU,1717826475
340,kattivakkam,13.2167,80.3167,32.86,76,100,3.74,IN,1717826475
341,kokopo,-4.352,152.2633,28.3,79,99,3.7,PG,1717826475
342,chulym,55.0997,80.9572,20.03,84,100,4.39,RU,1717826475
343,tsiombe,-25.3,45.4833,23.47,73,2,3.9,MG,1717826475
344,masinloc,15.5333,120.05,26.04,73,78,2.93,PH,1717826476
345,battle creek,42.3212,-85.1797,12.21,88,60,3.05,US,1717826476
346,acarau,-2.8856,-40.12,24.66,90,63,4.35,BR,1717826476
347,kapuskasing,49.4169,-82.4331,12.0,87,75,2.57,CA,1717826270
348,cartagena,10.3997,-75.5144,26.79,94,40,1.03,CO,1717826476
349,gorontalo,0.5412,123.0595,29.93,74,68,2.96,ID,1717826476
350,guarapuava,-25.3953,-51.4581,11.92,94,6,1.09,BR,1717826477
351,ola,59.5833,151.2833,5.08,91,100,6.77,RU,1717826477
352,souillac,-20.5167,57.5167,25.21,73,40,8.23,MU,1717826477
353,malango,-2.9627,119.9001,25.05,87,99,1.35,ID,1717826477
354,el nido,11.1858,119.3956,30.08,67,93,0.91,PH,1717826477
355,ceres,37.5949,-120.9577,23.97,52,0,4.12,US,1717826228
356,camarinas,43.1311,-9.1817,14.4,93,100,9.71,ES,1717826477
357,cururupu,-1.8283,-44.8683,22.51,100,85,0.38,BR,1717826478
358,nuuk,64.1835,-51.7216,1.34,100,100,0.51,GL,1717826478
359,wynyard,-41.0,145.7167,12.93,68,63,3.55,AU,1717826478
360,jimma,7.6667,36.8333,20.53,82,30,0.67,ET,1717826478
361,maputo,-25.9653,32.5892,20.37,67,75,10.29,MZ,1717826478
